0,0314718838835  0,0187800369686
0,0354247928694  0,0160628465804
0,0423699511634  0,0121256931608
0,0553482017535  0,00719038817006
0,0703823388138  0,00325323475046
0,0834671217029  0,00147874306839
0,102618638667  -0,000295748613678
0,116744447705  -0,00118299445471
0,134925960052  -0,00173752310536
0,151096441634  -0,00195933456562
0,177385622625  -0,00195933456562
0,218854721717  -0,00157116451017
0,263355318859  -0,00123844731978
0,305831802321  -0,000961182994455
0,341224822399  -0,000850277264325
0,377628964824  -0,000739371534196
0,410999740211  -0,000628465804067
0,431225925102  -0,000517560073937
0,44536855503  -0,00090573012939
0,455468564561  -0,00123844731978
0,466575958464  -0,0016820702403
0,473636993995  -0,00218114602588
0,481701675921  -0,00290203327172
0,489773833798  -0,0034011090573
0,496819917428  -0,0043438077634
0,504877123404  -0,0052865064695
0,510913953675  -0,00617375231054
0,524015557454  -0,00744916820702
0,536139680665  -0,00772643253235
0,54220641474  -0,00772643253235
0,552336328075  -0,0071719038817
0,561470070965  -0,00617375231054
0,569590822523  -0,00523105360444
0,576691106796  -0,00456561922366
0,582785875686  -0,00373382624769
0,588884382552  -0,00279112754159
0,59498102043  -0,00190388170055
0,603111116926  -0,000683918669131
0,609211492779  0,000314232902033
0,614295139324  0,001146025878
0,623430751202  0,00219963031423
0,631553371747  0,0031977818854
0,641696367996  0,0041404805915
0,646770669602  0,00469500924214
0,655889460591  0,00524953789279
0,668041618618  0,00580406654344
0,688279017436  0,00624768946396
0,711544176328  0,00652495378928
0,740864855368  0,00646950092421
0,771185442829  0,00608133086876
0,803522668017  0,00552680221811
0,842939618614  0,00502772643253
0,876289835137  0,00452865064695
0,914690056425  0,00386321626617
0,945005036922  0,00330868761553
0,96622552327  0,00292051756007
0,991494236976  0,00264325323475
