0,00169204737733  0,0270868347339
0,00676818950931  0,0199159663866
0,0152284263959  0,00389355742297
0,0219966159052  -0,00361344537815
0,0287648054146  -0,00327731092437
0,0406091370558  -0,00204481792717
0,0541455160745  -0,000812324929972
0,077834179357  -0,00047619047619
0,0981387478849  -0,000140056022409
0,12013536379  8,40336134454e-05
0,142131979695  8,40336134454e-05
0,164128595601  8,40336134454e-05
0,186125211506  0,000196078431373
0,206429780034  0,0003081232493
0,225042301184  0,000196078431373
0,24703891709  8,40336134454e-05
0,270727580372  -0,000364145658263
0,292724196277  -0,000588235294118
0,313028764805  -0,00114845938375
0,336717428088  -0,00126050420168
0,357021996616  -0,00170868347339
0,379018612521  -0,00193277310924
0,397631133672  -0,0021568627451
0,426395939086  -0,00226890756303
0,44331641286  -0,00249299719888
0,467005076142  -0,00294117647059
0,490693739425  -0,00271708683473
0,510998307953  -0,0021568627451
0,536379018613  -0,00182072829132
0,558375634518  -0,00159663865546
0,580372250423  -0,00148459383754
0,602368866328  -0,00137254901961
0,624365482234  -0,00126050420168
0,644670050761  -0,00126050420168
0,664974619289  -0,00126050420168
0,68358714044  -0,00126050420168
0,702199661591  -0,00137254901961
0,719120135364  -0,00182072829132
0,736040609137  -0,00204481792717
0,75296108291  -0,00271708683473
0,764805414552  -0,00294117647059
0,77834179357  -0,00372549019608
0,788494077834  -0,00428571428571
0,800338409475  -0,0050700280112
0,813874788494  -0,00607843137255
0,827411167513  -0,00675070028011
0,837563451777  -0,0075350140056
0,849407783418  -0,00798319327731
0,857868020305  -0,00865546218487
0,871404399323  -0,00955182072829
0,883248730964  -0,00887955182073
0,893401015228  -0,00887955182073
0,90524534687  -0,00809523809524
0,918781725888  -0,00663865546218
0,928934010152  -0,00495798319328
0,947546531303  -0,00204481792717
0,959390862944  0,00109243697479
0,971235194585  0,00355742296919
0,984771573604  0,00501400560224
1  0,00647058823529
