0,651782492603  0,00551075268817
0,65781554449  0,00685483870968
0,664519737317  0,00819892473118
0,669214115609  0,00887096774194
0,672562603738  0,0102150537634
0,676571407953  0,0135752688172
0,679237930288  0,016935483871
0,682571985278  0,0209677419355
0,684570974959  0,0236559139785
0,686569964639  0,0263440860215
0,689236486974  0,0297043010753
0,692574150249  0,033064516129
0,695908205239  0,0370967741935
0,69723605398  0,0397849462366
0,698563902721  0,0424731182796
0,701887132857  0,0485215053763
0,702547448943  0,0505376344086
0,703207765029  0,0525537634409
0,7045283972  0,0565860215054
0,704513964061  0,0592741935484
0,704495922638  0,0626344086022
0,70581655481  0,0666666666667
0,705127372447  0,0700268817204
0,705102114455  0,0747311827957
0,705084073032  0,0780913978495
0,705069639893  0,0807795698925
0,705055206755  0,0834677419355
0,705044381901  0,0854838709677
0,705029948762  0,0881720430108
0,705008299055  0,0922043010753
0,705001082485  0,0935483870968
0,705654182002  0,0969086021505
0,704964999639  0,100268817204
0,704950566501  0,102956989247
0,704932525078  0,106317204301
0,704914483654  0,109677419355
0,705567583171  0,113037634409
0,705538716894  0,118413978495
0,705524283756  0,121102150538
0,705506242332  0,124462365591
0,706162950134  0,127150537634
0,705473767771  0,130510752688
0,706126867287  0,133870967742
0,706112434149  0,136559139785
0,70609800101  0,139247311828
0,706754708811  0,141935483871
0,706065526449  0,145295698925
0,70672223425  0,147983870968
