0,550626815328  0,001870645161
0,544978839576  0,005096451613
0,544973643646  0,006709354839
0,548992695389  0,009128709677
0,556225429747  0,013967419355
0,567485009742  0,018806129032
0,577136449448  0,022838387097
0,587593258281  0,026870645161
0,599660805369  0,030902903226
0,606893539727  0,035741612903
0,609291461355  0,041386774194
0,610863230136  0,053483548387
0,610018891535  0,065580322581
0,609959138342  0,084128709677
0,609114799740  0,096225483871
0,609878601429  0,109128709677
0,609013479108  0,127677096774
