0,751319333189  -0,0120967741935
0,762594500974  -0,0120967741935
0,773061701667  -0,0112903225806
0,783526304395  -0,00967741935484
0,788350725265  -0,00725806451613
0,78995626759  -0,00564516129032
0,789137908638  -0,00161290322581
0,788309157826  0,00564516129032
0,788280580212  0,0145161290323
0,783406798008  0,0274193548387
0,777740636501  0,0362903225806
0,769653171682  0,0467741935484
0,764794977268  0,0548387096774
0,759936782853  0,0629032258065
0,755876163672  0,0733870967742
0,75342368478  0,0846774193548
0,751768781121  0,0983870967742
0,75090885473  0,115322580645
0,750867287292  0,128225806452
0,750836111712  0,137903225806
0,750802338168  0,148387096774
